,tsne1,tsne2,tsne_clusters,soundpath
109,-8.1734,9.394254,5,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_19_19700101_122640_short.WAV
110,-8.772806,10.946573,5,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_1_19700101_122640_short.WAV
111,7.7315655,-0.8679635,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_200_19700101_122640_short.WAV
112,7.082876,-0.40211326,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_201_19700101_122640_short.WAV
113,2.561145,0.50020057,4,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_202_19700101_122640_short.WAV
114,1.2549177,-1.505676,2,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_203_19700101_122640_short.WAV
115,2.4073584,1.7597188,4,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_204_19700101_122640_short.WAV
116,2.5993137,1.2201151,4,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_205_19700101_122640_short.WAV
117,2.2915602,-0.41365033,4,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_206_19700101_122640_short.WAV
118,1.9388766,-0.9059359,2,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_207_19700101_122640_short.WAV
119,1.013674,-1.2910722,2,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_208_19700101_122640_short.WAV
120,1.7230431,-0.025263134,4,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_209_19700101_122640_short.WAV
121,-8.69276,9.898166,5,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_20_19700101_122640_short.WAV
122,1.3865964,-0.5977956,2,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_210_19700101_122640_short.WAV
123,1.0949625,-0.671531,2,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_211_19700101_122640_short.WAV
124,1.5616955,-0.28016672,2,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_212_19700101_122640_short.WAV
